ID_Lloyds	Name_Lloyds (COUNTRY)	COUNTRY
('1723',)	Folkestone (GBR)	GBR
('8401',)	Follafjord (NOR)	NOR
('3836',)	Follafoss (NOR)	NOR
('2495',)	Follonica (ITA)	ITA
('1643',)	Fond Mombin (HTI)	HTI
('3399',)	Fonnes (NOR)	NOR
('8787',)	Fontenay le Comte (FRA)	FRA
('5535',)	Forari (VUT)	VUT
('3859',)	Forby (EST)	EST
('3252',)	Forcados Terminal (NGA)	NGA
('7957',)	Forde(Fordefjord) (NOR)	NOR
('5791',)	Forde(Fuglesetfjord) (NOR)	NOR
('6107',)	Forestville (CAN)	CAN
('8634',)	Foresvik (NOR)	NOR
('9969',)	Forli (ITA)	ITA
('5313',)	Formia (ITA)	ITA
('163',)	Forno (BRA)	BRA
('10081',)	Forsand (NOR)	NOR
('4503',)	Forsmark (SWE)	SWE
('9579',)	Fort Bragg (USA)	USA
('1552',)	Fort Chimo (CAN)	CAN
('2831',)	Fort de France (MTQ)	MTQ
('1412',)	Fort Erie (CAN)	CAN
('4373',)	Fort Gilkicker (GBR)	GBR
('1194',)	Fort Lauderdale (USA)	USA
('2850',)	Fort Liberte (HTI)	HTI
('9534',)	Fort Myers (USA)	USA
('3540',)	Fort Pierce (USA)	USA
('2207',)	Fortaleza (BRA)	BRA
('3591',)	Forties Terminal (GBR)	GBR
('4607',)	Fortune (CAN)	CAN
('10083',)	Forus (NOR)	NOR
('889',)	Fos (FRA)	FRA
('3902',)	Fosdyke (GBR)	GBR
('5203',)	Fosen (NOR)	NOR
('9349',)	Foshan (CHN)	CHN
('1465',)	Fosnavaag (NOR)	NOR
('7761',)	Foumbouni (COM)	COM
('630',)	Fourgassie (GUF)	GUF
('2449',)	Fourkero Bay (TUR)	TUR
('3807',)	Fouzderhat Beach (BGD)	BGD
('67',)	Foveaux Strait (NZL)	NZL
('3693',)	Fowey (GBR)	GBR
('6',)	Fowey Roads (GBR)	GBR
('8449',)	Fowl River (USA)	USA
('9447',)	Fox Bay (FLK)	FLK
('8700',)	Fox Harbour (CAN)	CAN
('1683',)	Foxe Basin (CAN)	CAN
('4433',)	Foxhol (NLD)	NLD
('3498',)	Foynes (IRL)	IRL
('3925',)	Foynes Is. (IRL)	IRL
('10009',)	Frade Field (BRA)	BRA
('5020',)	France (FRA)	FRA
('10414',)	Franco Field (BRA)	BRA
('4578',)	Franeker (NLD)	NLD
('5472',)	Frankfurt (DEU)	DEU
('5643',)	Fraser River Port (CAN)	CAN
('1763',)	Fraserburgh (GBR)	GBR
('4840',)	Fray Bentos (URY)	URY
('3125',)	Fredericia (DNK)	DNK
('8948',)	Fredericton (CAN)	CAN
('3133',)	Frederikshavn (DNK)	DNK
('1713',)	Frederikssund (DNK)	DNK
('3131',)	Frederiksted (VIR)	VIR
('655',)	Frederiksvaerk (DNK)	DNK
('1394',)	Fredrikstad (NOR)	NOR
('9782',)	Freeland (USA)	USA
('856',)	Freeport(BHS) (BHS)	BHS
('7826',)	Freeport(BMU) (BMU)	BMU
('1753',)	Freeport(Tex) light. area (USA)	USA
('3341',)	Freeport(Texas) (USA)	USA
('3324',)	Freetown (SLE)	SLE
('10513',)	Freetown STS (SLE)	SLE
('7526',)	Freiburg (DEU)	DEU
('219',)	Fremantle (AUS)	AUS
('10264',)	Fremantle Anch. (AUS)	AUS
('3733',)	French Guiana (GUF)	GUF
('6445',)	French Polynesia (PYF)	PYF
('6446',)	French Southern Territories (ATF)	ATF
('4153',)	Freshwater Bay(GBR) (GBR)	GBR
('4397',)	Freshwater Bay(USA) (USA)	USA
('6402',)	Friday Harbour (USA)	USA
('9689',)	Friedrichskoog (DEU)	DEU
('48',)	Friedrichstadt (DEU)	DEU
('8313',)	Friendswood (USA)	USA
('5583',)	Frigg Field (GBR)	GBR
('6468',)	Frodsham (GBR)	GBR
('5284',)	Frojdbole (FIN)	FIN
('8834',)	Frombork (POL)	POL
('1296',)	Frontera (MEX)	MEX
('10212',)	Fu Lian (CHN)	CHN
('9687',)	Fu'an (CHN)	CHN
('7907',)	Fuenterrabia (ESP)	ESP
('2645',)	Fuglafjordur (FRO)	FRO
('1682',)	Fuik Bay (ANT)	ANT
('730',)	Fujairah (ARE)	ARE
('1631',)	Fujairah Anchorage (ARE)	ARE
('6246',)	Fujairah/Khor Fakkan (ARE)	ARE
('9350',)	Fujin (CHN)	CHN
('5693',)	Fukui (JPN)	JPN
('4218',)	Fukuoka (JPN)	JPN
('8285',)	Fukura (JPN)	JPN
('1390',)	Fukushima (JPN)	JPN
('9351',)	Fuling (CHN)	CHN
('1489',)	Fulmar Terminal (GBR)	GBR
('8450',)	Fulton (USA)	USA
('3815',)	Funabashi (JPN)	JPN
('2728',)	Funafuti (TUV)	TUV
('1173',)	Funakawa (JPN)	JPN
('7682',)	Funchal (PMD)	PMD
('7866',)	Fuqing (CHN)	CHN
('845',)	Fur (DNK)	DNK
('423',)	Furillen (SWE)	SWE
('4585',)	Furnace (GBR)	GBR
('3071',)	Furusund (SWE)	SWE
('8495',)	Fusa (NOR)	NOR
('2606',)	Fushiki (JPN)	JPN
('8914',)	Fushiki-Toyama (JPN)	JPN
('8405',)	Futajima (JPN)	JPN
('7754',)	Futila Terminal (AGO)	AGO
('10610',)	Futong (IDN)	IDN
('9612',)	Futtsu (JPN)	JPN
('2586',)	Futuna Is. (WLF)	WLF
('3432',)	Fuzhou (CHN)	CHN
('4665',)	Gabes (TUN)	TUN
('5258',)	Gabon (GAB)	GAB
('2403',)	Gadani Beach (PAK)	PAK
('5185',)	Gaeta (ITA)	ITA
('3065',)	Gaillon (FRA)	FRA
('3060',)	Gainsborough (GBR)	GBR
('5455',)	Galapagos Is. (ECU)	ECU
('3500',)	Galatz (ROM)	ROM
('1519',)	Galaxidi (GRC)	GRC
('5737',)	Galeota Point Terminal (TTO)	TTO
('3232',)	Galita Is. (TUN)	TUN
('5947',)	Galle (LKA)	LKA
('8853',)	Galliano (USA)	USA
('1068',)	Gallipoli (ITA)	ITA
('10535',)	Galoa (FJI)	FJI
('1210',)	Galoc Terminal (PHL)	PHL
('9492',)	Galtby (FIN)	FIN
('964',)	Galveston (USA)	USA
('10631',)	Galveston Anch. (USA)	USA
('5545',)	Galveston light. area (USA)	USA
('2486',)	Galway (IRL)	IRL
('3941',)	Galway Bay (IRL)	IRL
('476',)	Gamadodo (PNG)	PNG
('4007',)	Gamagori (JPN)	JPN
('5730',)	Gamba Terminal (GAB)	GAB
('8810',)	Gambell (USA)	USA
('10386',)	Gamboa (PAN)	PAN
('1078',)	Gamleby (SWE)	SWE
('364',)	Gan Is. (MDV)	MDV
('9218',)	Gananoque (CAN)	CAN
('2348',)	Ganaveh (IRN)	IRN
('9658',)	Gandaulim (IND)	IND
('5126',)	Gandia (ESP)	ESP
('9712',)	Gangavaram (IND)	IND
('8109',)	Gannet Field (GBR)	GBR
('4746',)	Ganspe (DEU)	DEU
('9352',)	Ganzhou (CHN)	CHN
('8099',)	Gaogang (CHN)	CHN
('10325',)	Gaolan (CHN)	CHN
('8458',)	Garcia Hernandez (PHL)	PHL
('8439',)	Gardabaer (ISL)	ISL
('2323',)	Garden Reach (IND)	IND
('2628',)	Garelochhead (GBR)	GBR
('1136',)	Garlieston (GBR)	GBR
('3640',)	Garnes (NOR)	NOR
('7757',)	Garoua (CMR)	CMR
('2881',)	Garoupa (BRA)	BRA
('2690',)	Garrucha (ESP)	ESP
('2347',)	Garston (GBR)	GBR
('5029',)	Gary Harbour (USA)	USA
('8713',)	Garyville (USA)	USA
('5234',)	Gaspe (CAN)	CAN
('3242',)	Gatun Lake (PAN)	PAN
('5283',)	Gaupne (NOR)	NOR
('9823',)	Gausvik (NOR)	NOR
('5297',)	Gavdo (GRC)	GRC
('3571',)	Gaviota (USA)	USA
('1976',)	Gaza ()	
('5760',)	Gdansk (POL)	POL
('5135',)	Gdynia (POL)	POL
('633',)	Gebe Is. (IDN)	IDN
('6172',)	Gebig (BRA)	BRA
('5339',)	Gebze (TUR)	TUR
('3267',)	Gedser (DNK)	DNK
('8103',)	Geel (BEL)	BEL
('5322',)	Geelong (AUS)	AUS
('2079',)	Geertruidenberg (NLD)	NLD
('4765',)	Geesthacht (DEU)	DEU
('5784',)	Gefle (SWE)	SWE
('5765',)	Geiranger (NOR)	NOR
('1727',)	Geismar (USA)	USA
('360',)	Geisum Terminal (EGY)	EGY
('2150',)	Gela (ITA)	ITA
('5715',)	Gelibolu (TUR)	TUR
('2666',)	Gelsenkirchen (DEU)	DEU
('5900',)	Gelting (DEU)	DEU
('2276',)	Gelting Bay (DEU)	DEU
('4006',)	Gemlik (TUR)	TUR
('10242',)	Gemlik Anch. (TUR)	TUR
('7881',)	Gendt (NLD)	NLD
('9249',)	General Lagos (ARG)	ARG
('2686',)	General San Martin (PER)	PER
('2918',)	General Santos (PHL)	PHL
('6083',)	Genk (BEL)	BEL
('6266',)	Genkai (JPN)	JPN
('10623',)	Gennevilliers (FRA)	FRA
('5521',)	Genoa (ITA)	ITA
('9737',)	Genthin (DEU)	DEU
('6106',)	George Town(CYM) (CYM)	CYM
('1758',)	Georges Bank (CAN)	CAN
('8473',)	Georgetown(AUS) (AUS)	AUS
('3731',)	Georgetown(CAN) (CAN)	CAN
('8145',)	Georgetown(SHN) (SHN)	SHN
('3742',)	Georgetown(USA) (USA)	USA
('7815',)	Georgia (GEO)	GEO
('3981',)	Georgia(USA) (USA)	USA
('10443',)	Geragai Terminal (IDN)	IDN
('1846',)	Geraldton (AUS)	AUS
('10263',)	Geraldton Anch. (AUS)	AUS
('2328',)	German Bay (DEU)	DEU
('142',)	Germany (DEU)	DEU
('7798',)	Germersheim (DEU)	DEU
('5032',)	Gernsheim (DEU)	DEU
('3909',)	Gerrans Bay (GBR)	GBR
('5416',)	Ghana (GHA)	GHA
('3023',)	Ghazaouet (DZA)	DZA
('4538',)	Ghent (BEL)	BEL
('8665',)	Giannutri Is. (ITA)	ITA
('8203',)	Giardini (ITA)	ITA
('731',)	Gibraltar (GIB)	GIB
('3348',)	Gibraltar East Anch. (GIB)	GIB
('10018',)	Gibraltar STS (GIB)	GIB
('728',)	Gibraltar(fo) (GIB)	GIB
('9759',)	Gibsons (CAN)	CAN
('1270',)	Gigha Is. (GBR)	GBR
('3248',)	Giglio Is. (ITA)	ITA
('5171',)	Gijon (ESP)	ESP
('7515',)	Gilimanuk (IDN)	IDN
('9991',)	Gilleleje (DNK)	DNK
('87',)	Gillingham (GBR)	GBR
('10538',)	Gills Bay (GBR)	GBR
('10163',)	Gimboa Field (AGO)	AGO
('10649',)	Gimboa Terminal (AGO)	AGO
('5033',)	Gingoog (PHL)	PHL
('10118',)	Ginsheim-Gustavsburg (DEU)	DEU
('4837',)	Gioia Tauro (ITA)	ITA
('8172',)	Girassol Terminal (AGO)	AGO
('1249',)	Girdler Anch. (GBR)	GBR
('5488',)	Giresun (TUR)	TUR
('4482',)	Girvan (GBR)	GBR
('2337',)	Gisborne (NZL)	NZL
('5282',)	Giulianova (ITA)	ITA
('7848',)	Giurgiu (ROM)	ROM
('10146',)	Giurgiulesti (MDA)	MDA
('7737',)	Giza (EGY)	EGY
('5260',)	Gizan (SAU)	SAU
('2295',)	Gizo (SLB)	SLB
('85',)	Gjevingstangholmen (NOR)	NOR
('10103',)	Gjoa Haven (CAN)	CAN
('4398',)	Glace Bay (CAN)	CAN
('3464',)	Gladstone (AUS)	AUS
('10225',)	Gladstone Anch. (AUS)	AUS
('9983',)	Gladstone(USA) (USA)	USA
('9278',)	Glaerem (NOR)	NOR
('109',)	Glandore (IRL)	IRL
('1678',)	Glasgow (GBR)	GBR
('1158',)	Glasson Dock (GBR)	GBR
('5384',)	Glatved (DNK)	DNK
('3155',)	Glen Douglas (GBR)	GBR
('10677',)	Glenan Islands (FRA)	FRA
('9444',)	Glencripesdale (GBR)	GBR
('3552',)	Glengariff (IRL)	IRL
('5310',)	Glenmallan (GBR)	GBR
('3774',)	Glensanda (GBR)	GBR
('8627',)	Glitne Field (NOR)	NOR
('173',)	Glomfjord (NOR)	NOR
('72',)	Gloucester(GBR) (GBR)	GBR
('92',)	Gloucester(MA USA) (USA)	USA
('8659',)	Gloucester(NJ USA) (USA)	USA
('82',)	Gloucester(USA) (USA)	USA
('7992',)	Glovertown (CAN)	CAN
('2983',)	Gluckstadt (DEU)	DEU
('5298',)	Gocek (TUR)	TUR
('8725',)	Godau (VNM)	VNM
('10671',)	Godbout (CAN)	CAN
('1648',)	Goderich (CAN)	CAN
('9647',)	Goedereede (NLD)	NLD
('543',)	Goeje Is. (KOR)	KOR
('8764',)	Goes (NLD)	NLD
('3402',)	Gohyun Bay (KOR)	KOR
('942',)	Goi (JPN)	JPN
('6281',)	Gojeong (KOR)	KOR
('6035',)	Gokceada (TUR)	TUR
('4699',)	Gokova (TUR)	TUR
('5959',)	Golcuk (TUR)	TUR
('3650',)	Gold River(CAN) (CAN)	CAN
('9607',)	Golden Meadow (USA)	USA
('10098',)	Golden Pass Terminal (USA)	USA
('9859',)	Golfinho Field (BRA)	BRA
('3890',)	Golfito (CRI)	CRI
('5142',)	Golfo Aranci (ITA)	ITA
('1625',)	Golfo Nuevo (ARG)	ARG
('687',)	Golfo San Matias (ARG)	ARG
('10665',)	Goliat Field (NOR)	NOR
('6358',)	Gombe Beta Terminal (GAB)	GAB
('4740',)	Gomera (CNI)	CNI
('3159',)	Gonaives (HTI)	HTI
('121',)	Good Hope(USA) (USA)	USA
('5865',)	Goole (GBR)	GBR
('3760',)	Goose Bay (CAN)	CAN
('6157',)	Gopalpur (IND)	IND
('1598',)	Gore Bay (NZL)	NZL
('9754',)	Gorey (GBR)	GBR
('8128',)	Gorgona Is. (ITA)	ITA
('6063',)	Gorinchem (NLD)	NLD
('775',)	Gorleston Roads (GBR)	GBR
('2144',)	Gorm Terminal (DNK)	DNK
('10437',)	Goro (NCL)	NCL
('7732',)	Gorokhovets (RUS)	RUS
('2959',)	Gorontalo (IDN)	IDN
('312',)	Gosport (GBR)	GBR
('8148',)	Gota Canal (SWE)	SWE
('8584',)	Gota(FRO) (FRO)	FRO
('2105',)	Gota(SWE) (SWE)	SWE
('205',)	Gothenburg (SWE)	SWE
('10283',)	Gothenburg Anch. (SWE)	SWE
('1',)	Gotland Is. (SWE)	SWE
('10049',)	Goto (BES)	BES
('8546',)	Gotsu (JPN)	JPN
('5373',)	Gouda (NLD)	NLD
('3288',)	Gourock (GBR)	GBR
('1964',)	Gove (AUS)	AUS
('10523',)	Gove Anch. (AUS)	AUS
('6292',)	Gozo Is. (MLT)	MLT
('1133',)	Graasten (DNK)	DNK
('2989',)	Graciosa Is. (AZO)	AZO
('5398',)	Gradac (HRV)	HRV
('5940',)	Grafaros (ISL)	ISL
('2832',)	Grafton (AUS)	AUS
('7874',)	Graham Is. (CAN)	CAN
('8714',)	Gramercy (USA)	USA
('3258',)	Gran Tarajal (CNI)	CNI
('10339',)	Granadilla (CNI)	CNI
('7969',)	Grand Bank (CAN)	CAN
('4654',)	Grand Bassa (LBR)	LBR
('1037',)	Grand Batanga (CMR)	CMR
('3615',)	Grand Berebi (CIV)	CIV
('337',)	Grand Cayman (CYM)	CYM
('3443',)	Grand Couronne (FRA)	FRA
('754',)	Grand Haven (USA)	USA
('175',)	Grand Manan Is. (CAN)	CAN
('9535',)	Grand River (USA)	USA
('2584',)	Grand Turk (TCA)	TCA
('2147',)	Grande Anse (CAN)	CAN
('3165',)	Grande Bay (SXM)	SXM
('9585',)	Grandin (USA)	USA
('9793',)	Grandview (USA)	USA
('4444',)	Grangemouth (GBR)	GBR
('2671',)	Granton (GBR)	GBR
('5848',)	Granville (FRA)	FRA
('9784',)	Granville Ferry (CAN)	CAN
('9955',)	Granvin (NOR)	NOR
('6313',)	Grassy (AUS)	AUS
('2343',)	Gravdal (NOR)	NOR
('7610',)	Grave (NLD)	NLD
('510',)	Gravelines (FRA)	FRA
('4342',)	Grays Harbour (USA)	USA
('1769',)	Greaker (NOR)	NOR
('2803',)	Great Abaco Is. (BHS)	BHS
('131',)	Great Duck Is. (CAN)	CAN
('384',)	Great Exuma Is. (BHS)	BHS
('8151',)	Great Inagua Is. (BHS)	BHS
('1187',)	Great Isaac Is. (BHS)	BHS
('4',)	Great Lakes ()	
('1442',)	Great Oakley (GBR)	GBR
('3286',)	Great Stirrup Cay (BHS)	BHS
('2494',)	Great Yarmouth (GBR)	GBR
('3657',)	Great Yarmouth Roads (GBR)	GBR
('9775',)	Greater Plutonio Terminal (AGO)	AGO
('307',)	Grebbestad (SWE)	SWE
('5289',)	Greece (GRC)	GRC
('3691',)	Green Bay (USA)	USA
('8604',)	Green Cove Springs (USA)	USA
('3496',)	Greenland (GRL)	GRL
('1995',)	Greenock (GBR)	GBR
('460',)	Greenore (IRL)	IRL
('2122',)	Greenport (USA)	USA
('8158',)	Greenville(LBR) (LBR)	LBR
('5427',)	Greenville(USA) (USA)	USA
('8265',)	Greenwich Is. (ATA)	ATA
('248',)	Gregorio (CHL)	CHL
('6304',)	Greifswald (DEU)	DEU
('6463',)	Gremyang (IDN)	IDN
('5397',)	Grenaa (DNK)	DNK
('5247',)	Grenada (GRD)	GRD
('756',)	Grenadines (VCT)	VCT
('1152',)	Grenivik (ISL)	ISL
('4336',)	Gresik (IDN)	IDN
('5557',)	Gretna (USA)	USA
('773',)	Greymouth (NZL)	NZL
('7504',)	Griffin Terminal (AUS)	AUS
('2320',)	Grigny (FRA)	FRA
('560',)	Grimbergen (BEL)	BEL
('324',)	Grimsby (GBR)	GBR
('10585',)	Grimsby(CAN) (CAN)	CAN
('4048',)	Grimstad (NOR)	NOR
('3621',)	Grindavik (ISL)	ISL
('7699',)	Grindstone (CAN)	CAN
('7672',)	Grisslehamn (SWE)	SWE
('6062',)	Grobbendonk (BEL)	BEL
('6332',)	Gromitz (DEU)	DEU
('2942',)	Grondines (CAN)	CAN
('1881',)	Groningen (NLD)	NLD
('726',)	Gronsfjord (NOR)	NOR
('4442',)	Groot-Ammers (NLD)	NLD
('2194',)	Gros Cacouna (CAN)	CAN
('4129',)	Groton (USA)	USA
('3894',)	Grouw (NLD)	NLD
('2123',)	Grove Wharf (GBR)	GBR
('6186',)	Grovehurst Jetty (GBR)	GBR
('9982',)	Grovfjord (NOR)	NOR
('10095',)	Grums (SWE)	SWE
('2395',)	Grundarfjordur (ISL)	ISL
('53',)	Grundartangi (ISL)	ISL
('3728',)	Gruvon (SWE)	SWE
('1790',)	Gruz (HRV)	HRV
('6503',)	Gryphon Terminal (GBR)	GBR
('574',)	Grytviken (FLK)	FLK
('1180',)	Guadalupe Is. (MEX)	MEX
('6456',)	Guadeloupe (GLP)	GLP
('3510',)	Gualeguaychu (ARG)	ARG
('2111',)	Guam (GUM)	GUM
('7692',)	Guamare Terminal (BRA)	BRA
('6032',)	Guanabara Bay (BRA)	BRA
('10196',)	Guanabara Bay Oil Terminal (BRA)	BRA
('901',)	Guanaja Is. (HND)	HND
('9619',)	Guangdong Terminal (CHN)	CHN
('2375',)	Guangzhou (CHN)	CHN
('4874',)	Guanica (PRI)	PRI
('4510',)	Guanta (VEN)	VEN
('4475',)	Guantanamo Bay (CUB)	CUB
('8253',)	Guapi (COL)	COL
('3296',)	Guaraguao (VEN)	VEN
('704',)	Guaranao Bay (VEN)	VEN
('3044',)	Guarapari (BRA)	BRA
('1121',)	Guarello (CHL)	CHL
('951',)	Guatemala (GTM)	GTM
('558',)	Guayabal (CUB)	CUB
('97',)	Guayacan (CHL)	CHL
('9806',)	Guayaguayare (TTO)	TTO
('4680',)	Guayama (PRI)	PRI
('2683',)	Guayanilla (PRI)	PRI
('490',)	Guayaquil (ECU)	ECU
('1687',)	Guaymas (MEX)	MEX
('2820',)	Gudhjem (DNK)	DNK
('2223',)	Gudvangen (NOR)	NOR
('1105',)	Guelendjik (RUS)	RUS
('4577',)	Guernica (ESP)	ESP
('49',)	Guernsey (GBR)	GBR
('10232',)	Guerrero Negro (MEX)	MEX
('5925',)	Guetaria (ESP)	ESP
('2226',)	Gufunes (ISL)	ISL
('9353',)	Guicheng (CHN)	CHN
('9735',)	Guilvinec (FRA)	FRA
('1081',)	Guimaras Is. (PHL)	PHL
('5919',)	Guinea (GIN)	GIN
('4424',)	Guinea-Bissau (GNB)	GNB
('5768',)	Guiria (VEN)	VEN
('8770',)	Gujan-Mestras (FRA)	FRA
('524',)	Guldborg (DNK)	DNK
('9298',)	Gulf Gateway Terminal (USA)	USA
('8470',)	Gulf of Aden (YEM)	YEM
('6250',)	Gulf of Aqaba (EGY)	EGY
('5646',)	Gulf of Bothnia (SWE)	SWE
('4394',)	Gulf of Campeche (MEX)	MEX
('5647',)	Gulf of Finland (FIN)	FIN
('7622',)	Gulf of Guinea ()	
('1415',)	Gulf of Kachchh (IND)	IND
('7911',)	Gulf of Ob (RUS)	RUS
('6045',)	Gulf of Oman (OMN)	OMN
('10039',)	Gulf of Paria (VEN)	VEN
('10273',)	Gulf of Paria Anch. (TTO)	TTO
('4419',)	Gulf of Suez ()	
('2040',)	Gulf of Thailand (THA)	THA
('3641',)	Gulfhavn (DNK)	DNK
('909',)	Gulfport (USA)	USA
('2655',)	Gullfaks Terminal (NOR)	NOR
('6467',)	Gullsmedvik (NOR)	NOR
('5598',)	Gulluk (TUR)	TUR
('8837',)	Gun Cay (BHS)	BHS
('759',)	Gunness (GBR)	GBR
('1280',)	Gunness Wharf (GBR)	GBR
('4404',)	Gunsan (KOR)	KOR
('7776',)	Gunung Sitoli (IDN)	IDN
('7807',)	Gurskebotn (NOR)	NOR
('8867',)	Gursken (NOR)	NOR
('3101',)	Gustavsberg (SWE)	SWE
('9406',)	Gustavus (USA)	USA
('5355',)	Guyana (GUY)	GUY
('1063',)	Guyrati Pass (PRY)	PRY
('3413',)	Gwadar (PAK)	PAK
('2815',)	Gwangyang (KOR)	KOR
('5168',)	Gweek (GBR)	GBR
('10474',)	Gyeongin Canal (KOR)	KOR
('10121',)	Gyor (HUN)	HUN
('3089',)	Gythion (GRC)	GRC
('6423',)	Ha Long Bay (VNM)	VNM
('6333',)	Haapai (TON)	TON
('7516',)	Haapsalu (EST)	EST
('2476',)	Haarlem (NLD)	NLD
('6407',)	Haavik (NOR)	NOR
('1775',)	Habu (JPN)	JPN
('10059',)	Hachijo (JPN)	JPN
('10058',)	Hachijo Is. (JPN)	JPN
('2417',)	Hachinohe (JPN)	JPN
('10692',)	Haddhunmathi Atoll (MDV)	MDV
('4536',)	Hadera (ISR)	ISR
('1606',)	Haderslev (DNK)	DNK
('8336',)	Hadong (KOR)	KOR
('4669',)	Hadsund (DNK)	DNK
('4616',)	Haeju (PRK)	PRK
('1220',)	Hafnarfjordur (ISL)	ISL
('8318',)	Hagi (JPN)	JPN
('5826',)	Hahnville (USA)	USA
('10006',)	Hai Duong (VNM)	VNM
('5891',)	Haifa (ISR)	ISR
('10245',)	Haifa Anch. (ISR)	ISR
('3560',)	Haikou (CHN)	CHN
('8509',)	Haile Anch. (GBR)	GBR
('6187',)	Haimen (CHN)	CHN
('10528',)	Haimenzhen (CHN)	CHN
('3644',)	Hainan Is. (CHN)	CHN
('3367',)	Haines (USA)	USA
('3867',)	Haiphong (VNM)	VNM
('5804',)	Haiti (HTI)	HTI
('9311',)	Haixinsha (CHN)	CHN
('4410',)	Hakata (JPN)	JPN
('772',)	Hakatashima (JPN)	JPN
('134',)	Hakodate (JPN)	JPN
('4896',)	Halaib (SDN)	SDN
('10439',)	Halalo (WLF)	WLF
('4136',)	Halden (NOR)	NOR
('5133',)	Haldia (IND)	IND
('8784',)	Half Moon Cay (BHS)	BHS
('8968',)	Half Moon Is. (ATA)	ATA
('5823',)	Halfweg (NLD)	NLD
('966',)	Halifax (CAN)	CAN
('9504',)	Halki (GRC)	GRC
('3080',)	Hall Beach (CAN)	CAN
('6121',)	Hallekis (SWE)	SWE
('9662',)	Hallevik (SWE)	SWE
('5005',)	Halling (GBR)	GBR
('171',)	Hallstavik (SWE)	SWE
('10115',)	Halluin (FRA)	FRA
('2227',)	Halmahera Is. (IDN)	IDN
('4032',)	Halmstad (SWE)	SWE
('1801',)	Hals (DNK)	DNK
('5091',)	Halsa (NOR)	NOR
('9777',)	Halsanaustan (NOR)	NOR
('5716',)	Halsskov (DNK)	DNK
('8332',)	Halsvik (NOR)	NOR
('1288',)	Halul Island Terminal (QAT)	QAT
('14',)	Halvorshavn (NOR)	NOR
('10726',)	Hamad Port (QAT)	QAT
('5550',)	Hamada (JPN)	JPN
('6224',)	Hamaoka (JPN)	JPN
('9940',)	Hambantota (LKA)	LKA
('5579',)	Hamble (GBR)	GBR
('2993',)	Hamburg (DEU)	DEU
('532',)	Hamilton(BMU) (BMU)	BMU
('4804',)	Hamilton(CAN) (CAN)	CAN
('5075',)	Hamina (FIN)	FIN
('2288',)	Hammeren (DNK)	DNK
('374',)	Hammerfall (NOR)	NOR
('3469',)	Hammerfest (NOR)	NOR
('7918',)	Hammerhavn (DNK)	DNK
('2561',)	Hampton Roads (USA)	USA
('4047',)	Hamrawein (EGY)	EGY
('322',)	Hamriyah (ARE)	ARE
('2708',)	Hamriyah Terminal (ARE)	ARE
('9885',)	Handil (IDN)	IDN
('8521',)	Hanga Roa (CHL)	CHL
('3770',)	Hangzhou (CHN)	CHN
('5208',)	Hanko (FIN)	FIN
('5212',)	Hankong (CHN)	CHN
('3503',)	Hankou (CHN)	CHN
('4107',)	Hannan (JPN)	JPN
('9257',)	Hanoi (VNM)	VNM
('5755',)	Hanstholm (DNK)	DNK
('1454',)	Hansweert (NLD)	NLD
('1379',)	Hantsport (CAN)	CAN
('8628',)	Hanze Field (NLD)	NLD
('955',)	Hao (PYF)	PYF
('7875',)	Haora (IND)	IND
('9328',)	Haparanda (SWE)	SWE
('2170',)	Haql (SAU)	SAU
('1224',)	Haraholmen (SWE)	SWE
('9931',)	Haram (NOR)	NOR
('8498',)	Haramichi (JPN)	JPN
('9354',)	Harbin (CHN)	CHN
('8801',)	Harbor Beach (USA)	USA
('4327',)	Harbor Is. (USA)	USA
('1865',)	Harbour Breton (CAN)	CAN
('4190',)	Harbour Grace (CAN)	CAN
('1604',)	Hardangerfjord (NOR)	NOR
('10624',)	Hardbakke (NOR)	NOR
('8573',)	Hardeshoj (DNK)	DNK
('7959',)	Harding Field (GBR)	GBR
('4535',)	Hardinxveld (NLD)	NLD
('1620',)	Hare Bay (CAN)	CAN
('6298',)	Hareid (NOR)	NOR
('1311',)	Haren(BEL) (BEL)	BEL
('640',)	Haren(DEU) (DEU)	DEU
('2036',)	Harfleur (FRA)	FRA
('5302',)	Hargshamn (SWE)	SWE
('624',)	Harlesiel (DEU)	DEU
('2155',)	Harlingen (NLD)	NLD
('9519',)	Harlingen(TX USA) (USA)	USA
('5527',)	Harmac (CAN)	CAN
('39',)	Harriet Harbour (CAN)	CAN
('3577',)	Harris (GBR)	GBR
('5066',)	Harstad (NOR)	NOR
('1609',)	Hartah Point (IRN)	IRN
('2298',)	Hartlepool (GBR)	GBR
('8481',)	Harvey(USA) (USA)	USA
('3646',)	Harwich (GBR)	GBR
('8974',)	Harwood Is. (AUS)	AUS
('880',)	Hashihama (JPN)	JPN
('5396',)	Hasle (DNK)	DNK
('8667',)	Hasselby (SWE)	SWE
('2268',)	Hasselt (NLD)	NLD
('3401',)	Hastings(AUS) (AUS)	AUS
('7663',)	Hastings(GBR) (GBR)	GBR
('6319',)	Hasvik (NOR)	NOR
('929',)	Hatch Point (CAN)	CAN
('2801',)	Hatohama (JPN)	JPN
('2239',)	Haugesund (NOR)	NOR
('3261',)	Haugsholmen (NOR)	NOR
('2022',)	Haugsvik (NOR)	NOR
('10489',)	Haulsagu (IDN)	IDN
('9919',)	Hausvik (NOR)	NOR
